"name","id","url","platforms","kill chain phases","description","data sources","detection"
"Data Obfuscation","T1001","https://attack.mitre.org/techniques/T1001","ESXi, Linux, macOS, Windows","Command and Control","<p>Adversaries may obfuscate command and control traffic to make it more difficult to detect.(Citation: Bitdefender FunnyDream Campaign November 2020) Command and control (C2) communications are hidden (but not necessarily encrypted) in an attempt to make the content more difficult to discover or decipher and to make the communication less conspicuous and hide commands from being seen. This encompasses many methods, such as adding junk data to protocol traffic, using steganography, or impersonating legitimate protocols. </p>","",""
"Junk Data","T1001.001","https://attack.mitre.org/techniques/T1001/001","ESXi, Linux, macOS, Windows","Command and Control","<p>Adversaries may add junk data to protocols used for command and control to make detection more difficult.(Citation: FireEye SUNBURST Backdoor December 2020) By adding random or meaningless data to the protocols used for command and control, adversaries can prevent trivial methods for decoding, deciphering, or otherwise analyzing the traffic. Examples may include appending/prepending data with junk characters or writing junk characters between significant characters. </p>","",""
"Steganography","T1001.002","https://attack.mitre.org/techniques/T1001/002","Linux, macOS, Windows, ESXi","Command and Control","<p>Adversaries may use steganographic techniques to hide command and control traffic to make detection efforts more difficult. Steganographic techniques can be used to hide data in digital messages that are transferred between systems. This hidden information can be used for command and control of compromised systems. In some cases, the passing of files embedded using steganography, such as image or document files, can be used for command and control. </p>","",""
"Protocol or Service Impersonation","T1001.003","https://attack.mitre.org/techniques/T1001/003","ESXi, Linux, macOS, Windows","Command and Control","<p>Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts. By impersonating legitimate protocols or web services, adversaries can make their command and control traffic blend in with legitimate network traffic.  </p>
<p>Adversaries may impersonate a fake SSL/TLS handshake to make it look like subsequent traffic is SSL/TLS encrypted, potentially interfering with some security tooling, or to make the traffic look like it is related with a trusted entity. </p>
<p>Adversaries may also leverage legitimate protocols to impersonate expected web traffic or trusted services. For example, adversaries may manipulate HTTP headers, URI endpoints, SSL certificates, and transmitted data to disguise C2 communications or mimic legitimate services such as Gmail, Google Drive, and Yahoo Messenger.(Citation: ESET Okrum July 2019)(Citation: Malleable-C2-U42)</p>","",""
"OS Credential Dumping","T1003","https://attack.mitre.org/techniques/T1003","Linux, macOS, Windows","Credential Access","<p>Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password. Credentials can be obtained from OS caches, memory, or structures.(Citation: Brining MimiKatz to Unix) Credentials can then be used to perform <a href=""https://attack.mitre.org/tactics/TA0008"" rel=""noopener"" target=""_blank"">Lateral Movement</a> and access restricted information.</p>
<p>Several of the tools mentioned in associated sub-techniques may be used by both adversaries and professional security testers. Additional custom tools likely exist as well.</p>","",""
"LSASS Memory","T1003.001","https://attack.mitre.org/techniques/T1003/001","Windows","Credential Access","<p>Adversaries may attempt to access credential material stored in the process memory of the Local Security Authority Subsystem Service (LSASS). After a user logs on, the system generates and stores a variety of credential materials in LSASS process memory. These credential materials can be harvested by an administrative user or SYSTEM and used to conduct <a href=""https://attack.mitre.org/tactics/TA0008"" rel=""noopener"" target=""_blank"">Lateral Movement</a> using <a href=""https://attack.mitre.org/techniques/T1550"" rel=""noopener"" target=""_blank"">Use Alternate Authentication Material</a>.</p>
<p>As well as in-memory techniques, the LSASS process memory can be dumped from the target host and analyzed on a local system.</p>
<p>For example, on the target host use procdump:</p>
<ul>
<li><code>procdump -ma lsass.exe lsass_dump</code></li>
</ul>
<p>Locally, mimikatz can be run using:</p>
<ul>
<li><code>sekurlsa::Minidump lsassdump.dmp</code></li>
<li><code>sekurlsa::logonPasswords</code></li>
</ul>
<p>Built-in Windows tools such as <code>comsvcs.dll</code> can also be used:</p>
<ul>
<li><code>rundll32.exe C:\Windows\System32\comsvcs.dll MiniDump PID  lsass.dmp full</code>(Citation: Volexity Exchange Marauder March 2021)(Citation: Symantec Attacks Against Government Sector)</li>
</ul>
<p>Similar to <a href=""https://attack.mitre.org/techniques/T1546/012"" rel=""noopener"" target=""_blank"">Image File Execution Options Injection</a>, the silent process exit mechanism can be abused to create a memory dump of <code>lsass.exe</code> through Windows Error Reporting (<code>WerFault.exe</code>).(Citation: Deep Instinct LSASS)</p>
<p>Windows Security Support Provider (SSP) DLLs are loaded into LSASS process at system start. Once loaded into the LSA, SSP DLLs have access to encrypted and plaintext passwords that are stored in Windows, such as any logged-on user's Domain password or smart card PINs. The SSP configuration is stored in two Registry keys: <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Security Packages</code> and <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\OSConfig\Security Packages</code>. An adversary may modify these Registry keys to add new SSPs, which will be loaded the next time the system boots, or when the AddSecurityPackage Windows API function is called.(Citation: Graeber 2014)</p>
<p>The following SSPs can be used to access credentials:</p>
<ul>
<li>Msv: Interactive logons, batch logons, and service logons are done through the MSV authentication package.</li>
<li>Wdigest: The Digest Authentication protocol is designed for use with Hypertext Transfer Protocol (HTTP) and Simple Authentication Security Layer (SASL) exchanges.(Citation: TechNet Blogs Credential Protection)</li>
<li>Kerberos: Preferred for mutual client-server domain authentication in Windows 2000 and later.</li>
<li>CredSSP:  Provides SSO and Network Level Authentication for Remote Desktop Services.(Citation: TechNet Blogs Credential Protection)</li>
</ul>","",""
"Security Account Manager","T1003.002","https://attack.mitre.org/techniques/T1003/002","Windows","Credential Access","<p>Adversaries may attempt to extract credential material from the Security Account Manager (SAM) database either through in-memory techniques or through the Windows Registry where the SAM database is stored. The SAM is a database file that contains local accounts for the host, typically those found with the <code>net user</code> command. Enumerating the SAM database requires SYSTEM level access.</p>
<p>A number of tools can be used to retrieve the SAM file through in-memory techniques:</p>
<ul>
<li>pwdumpx.exe</li>
<li><a href=""https://attack.mitre.org/software/S0008"" rel=""noopener"" target=""_blank"">gsecdump</a></li>
<li><a href=""https://attack.mitre.org/software/S0002"" rel=""noopener"" target=""_blank"">Mimikatz</a></li>
<li>secretsdump.py</li>
</ul>
<p>Alternatively, the SAM can be extracted from the Registry with Reg:</p>
<ul>
<li><code>reg save HKLM\sam sam</code></li>
<li><code>reg save HKLM\system system</code></li>
</ul>
<p>Creddump7 can then be used to process the SAM database locally to retrieve hashes.(Citation: GitHub Creddump7)</p>
<p>Notes: </p>
<ul>
<li>RID 500 account is the local, built-in administrator.</li>
<li>RID 501 is the guest account.</li>
<li>User accounts start with a RID of 1,000+.</li>
</ul>","",""
"NTDS","T1003.003","https://attack.mitre.org/techniques/T1003/003","Windows","Credential Access","<p>Adversaries may attempt to access or create a copy of the Active Directory domain database in order to steal credential information, as well as obtain other information about domain members such as devices, users, and access rights. By default, the NTDS file (NTDS.dit) is located in <code>%SystemRoot%\NTDS\Ntds.dit</code> of a domain controller.(Citation: Wikipedia Active Directory)</p>
<p>In addition to looking for NTDS files on active Domain Controllers, adversaries may search for backups that contain the same or similar information.(Citation: Metcalf 2015)</p>
<p>The following tools and techniques can be used to enumerate the NTDS file and the contents of the entire Active Directory hashes.</p>
<ul>
<li>Volume Shadow Copy</li>
<li>secretsdump.py</li>
<li>Using the in-built Windows tool, ntdsutil.exe</li>
<li>Invoke-NinjaCopy</li>
</ul>","",""
"LSA Secrets","T1003.004","https://attack.mitre.org/techniques/T1003/004","Windows","Credential Access","<p>Adversaries with SYSTEM access to a host may attempt to access Local Security Authority (LSA) secrets, which can contain a variety of different credential materials, such as credentials for service accounts.(Citation: Passcape LSA Secrets)(Citation: Microsoft AD Admin Tier Model)(Citation: Tilbury Windows Credentials) LSA secrets are stored in the registry at <code>HKEY_LOCAL_MACHINE\SECURITY\Policy\Secrets</code>. LSA secrets can also be dumped from memory.(Citation: ired Dumping LSA Secrets)</p>
<p><a href=""https://attack.mitre.org/software/S0075"" rel=""noopener"" target=""_blank"">Reg</a> can be used to extract from the Registry. <a href=""https://attack.mitre.org/software/S0002"" rel=""noopener"" target=""_blank"">Mimikatz</a> can be used to extract secrets from memory.(Citation: ired Dumping LSA Secrets)</p>","",""
"Cached Domain Credentials","T1003.005","https://attack.mitre.org/techniques/T1003/005","Windows, Linux","Credential Access","<p>Adversaries may attempt to access cached domain credentials used to allow authentication to occur in the event a domain controller is unavailable.(Citation: Microsoft - Cached Creds)</p>
<p>On Windows Vista and newer, the hash format is DCC2 (Domain Cached Credentials version 2) hash, also known as MS-Cache v2 hash.(Citation: PassLib mscache) The number of default cached credentials varies and can be altered per system. This hash does not allow pass-the-hash style attacks, and instead requires <a href=""https://attack.mitre.org/techniques/T1110/002"" rel=""noopener"" target=""_blank"">Password Cracking</a> to recover the plaintext password.(Citation: ired mscache)</p>
<p>On Linux systems, Active Directory credentials can be accessed through caches maintained by software like System Security Services Daemon (SSSD) or Quest Authentication Services (formerly VAS). Cached credential hashes are typically located at <code>/var/lib/sss/db/cache.[domain].ldb</code> for SSSD or <code>/var/opt/quest/vas/authcache/vas_auth.vdb</code> for Quest. Adversaries can use utilities, such as <code>tdbdump</code>, on these database files to dump the cached hashes and use <a href=""https://attack.mitre.org/techniques/T1110/002"" rel=""noopener"" target=""_blank"">Password Cracking</a> to obtain the plaintext password.(Citation: Brining MimiKatz to Unix) </p>
<p>With SYSTEM or sudo access, the tools/utilities such as <a href=""https://attack.mitre.org/software/S0002"" rel=""noopener"" target=""_blank"">Mimikatz</a>, <a href=""https://attack.mitre.org/software/S0075"" rel=""noopener"" target=""_blank"">Reg</a>, and secretsdump.py for Windows or Linikatz for Linux can be used to extract the cached credentials.(Citation: Brining MimiKatz to Unix)</p>
<p>Note: Cached credentials for Windows Vista are derived using PBKDF2.(Citation: PassLib mscache)</p>","",""
